Date,"Type (compostable, landfill, recyclable)",Total weight (pounds),Container weight (pounds),Net weight (pounds),Note
2/18/21 11:26 AM,compostable,3.164,1.128,2.036,
2/20/21 10:34 AM,compostable,2.428,1.128,1.300,
2/26/21 7:29 AM,compostable,4.656,1.128,3.528,
3/1/21 3:38 PM,compostable,3.002,1.128,1.874,
3/5/21 10:40 AM,compostable,3.602,1.128,2.474,
3/9/21 8:08 AM,compostable,3.162,1.128,2.034,
3/12/21 12:14 PM,compostable,2.692,1.128,1.564,
3/15/21 11:59 AM,compostable,4.746,1.128,3.618,
3/17/21 10:07 AM,compostable,2.598,1.128,1.470,
3/21/21 1:18 PM,compostable,2.584,1.128,1.456,
3/23/21 2:28 PM,compostable,2.418,1.128,1.290,
3/27/21 11:10 AM,compostable,4.240,1.128,3.112,
3/28/21 7:35 AM,compostable,2.034,1.128,0.906,
3/30/21 12:52 PM,compostable,3.254,1.128,2.126,
4/2/21 1:13 PM,compostable,3.116,1.128,1.988,
4/5/21 2:07 PM,compostable,3.432,1.128,2.304,
4/6/21 8:37 AM,compostable,1.724,1.128,0.596,
4/11/21 2:16 PM,compostable,2.944,1.128,1.816,
4/13/21 3:50 PM,compostable,4.158,1.128,3.030,
4/16/21 10:16 AM,compostable,2.436,1.128,1.308,
4/18/21 7:00 AM,compostable,1.974,1.128,0.846,
4/19/21 8:02 AM,compostable,2.088,1.128,0.960,
4/21/21 12:53 PM,compostable,3.088,1.128,1.960,
4/23/21 10:57 AM,compostable,2.076,1.128,0.948,
4/26/21 7:31 AM,compostable,3.172,1.128,2.044,
4/28/21 9:23 PM,compostable,2.064,1.128,0.936,
4/30/21 9:26 PM,compostable,1.888,1.128,0.760,
5/3/21 9:50 AM,compostable,1.518,1.128,0.390,
5/8/21 9:18 AM,compostable,2.656,1.128,1.528,
5/9/21 6:49 PM,compostable,2.110,1.128,0.982,
5/11/21 4:40 PM,compostable,2.020,1.128,0.892,
5/16/21 3:53 PM,compostable,3.620,1.128,2.492,
5/18/21 8:16 AM,compostable,2.112,1.128,0.984,
5/21/21 4:38 PM,compostable,8500.000,0.000,8500.000,Excess soil from backyard landscaping
5/20/21 9:22 AM,compostable,3.574,1.128,2.446,
5/22/21 5:58 PM,compostable,2.588,1.128,1.460,
5/25/21 6:57 PM,compostable,3.844,1.128,2.716,
